Path,Verified,Publisher,Company,Description,Product,MD5,SHA256,group_count
c:\windows\system32\DriverStore\FileRepository\net8185.inf_amd64_470a1af721d5bb8c\RTL85n64.sys,A certificate was explicitly revoked by its issuer.,Realtek Semiconductor Corp,Realtek Semiconductor Corporation                           ,Realtek 8180/8185 Wireless Device,Realtek 8180/8185 Wireless Adapters                                     ,BF12BEF1F005D0FE1DCF00C39C1796AA,C827A60AFC683523EF17FF1798B8D88909D525F38B6ADCA4C7A457E53B801E30,1
c:\windows\system32\DriverStore\FileRepository\net8187bv64.inf_amd64_7167e8e6d4436325\RTL8187B.sys,Signed,Realtek Semiconductor Corp,Realtek Semiconductor Corporation                           ,Realtek RTL8187B NDIS Driver,Realtek RTL8187B Wireless USB 2.0 Adapter                                        ,166D47C9F5FD5F6026F03F0FAB1E2455,6E73017AE951ABC59D2C5776121D33B9A528D529A7E46E3C22EE9F5999705071,1
c:\windows\system32\DriverStore\FileRepository\net8187se64.inf_amd64_8e4723b045e5a274\RTL8187Se.sys,Signed,Realtek Semiconductor Corp,Realtek Semiconductor Corporation                           ,Realtek RTL8187S PCIE NDIS Driverr,Realtek RTL8187S Wireless LAN PCIE Network Adapter                              ,82827A241AE4BEF2F3E9C645D1EB37F3,AFFDF191016E31CBD7B6050AC850607B82718EB7A86CBF3789653E998D83206B,1
c:\windows\system32\DriverStore\FileRepository\net8192se64.inf_amd64_84a131487dc3991c\rtl8192se.sys,Signed,Realtek Semiconductor Corp,Realtek Semiconductor Corporation                           ,Realtek RTL81892SE NDIS Driverr,Realtek RTL81892SE Wireless LAN PCI-E NIC                                     ,3C2D0B2029266CA48DB48B30D1951148,E6BB20EF860E9FE164F7CED23510A27EC353A7088AE84CB9AE0EC9AE88171AD5,1
c:\windows\system32\DriverStore\FileRepository\net8192su64.inf_amd64_3383b22763f0ddbb\RTL8192su.sys,Signed,Realtek Semiconductor Corp,Realtek Semiconductor Corporation                           ,Realtek RTL8192S USB NDIS Driver,Realtek RTL8192S Wireless USB 2.0 Adapter                                        ,ED997BA41F8E760AD442E2EF9C9DF652,3EBF6AEFC92F166AEFA4228E45BEC86525A4D652CF5582BB13C082F0C0EFCAC0,1
c:\windows\system32\DriverStore\FileRepository\net819xp.inf_amd64_d3361f3b3c0caddd\rtl819xp.sys,Signed,Realtek Semiconductor Corp,Realtek Semiconductor Corporation                           ,Realtek RTL819xP NDIS Driverr,Realtek RTL819xP Wireless LAN (Mini-)PCI/PCI-E NIC                                     ,3AFE37868292474C3479B00E43A4E552,A9E53D6117C7E63A3BD49E4F2E23D0003540454D5CC7E45FCA798B5A733BA0BD,1
c:\windows\system32\DriverStore\FileRepository\netrtwlane.inf_amd64_968110a92cc92c26\rtwlane.sys,Signed,Realtek Semiconductor Corp,Realtek Semiconductor Corporation                           ,Realtek PCIE NDIS Driverr,Realtek  PCIEWireless LAN PCI-E NIC                                     ,A307450FE19F99CC8AC750EB13959F94,D74B054B116C8E4295AFE1826D3E560D7F6885980C711F692CCDF4D9A87978AB,1
c:\windows\system32\DriverStore\FileRepository\netrtwlanu.inf_amd64_39abcced9f3b34df\RTWlanU.sys,Signed,Realtek Semiconductor Corp,Realtek Semiconductor Corporation                           ,Realtek WLAN USB NDIS Driver,Realtek WLAN Wireless USB 2.0 Adapter                                        ,B0A0260A3C03156937ECDB67CE5C6FE5,88102D22976398599FA6165E9DBC1213EF2A001C99602E2195C9A7BAB0A127D7,1
c:\windows\system32\DriverStore\FileRepository\netwlan92de.inf_amd64_d9cc63bc60892b98\wlan92de.sys,Signed,Realtek Semiconductor Corp,Realtek Semiconductor Corporation                           ,Realtek PCIE NDIS Driverr,Realtek  PCIEWireless LAN PCI-E NIC                                     ,A0F2C01458B03948E4390BFD5A253D6E,07A3544FCCFA6B7BD3E45241E4520227052D93A9C4E5E9110E6DB4359860B314,1
c:\windows\system32\DriverStore\FileRepository\netr7364.inf_amd64_8def549bb7a72ac0\netr7364.sys,Signed,Ralink Technology Corporation,"Ralink Technology, Corp.",Ralink 802.11 USB Wireless Adapter Driver,Ralink 802.11 Wireless Adapters,F3A1D8B7317939813568992D1BFDDE37,816829E4B8DF5C6A2B09685ED45E844D8DE2C2721C90490A2957227025D057A0,1
c:\windows\system32\DriverStore\FileRepository\netl1c63x64.inf_amd64_42c4dccbca95b01d\L1C63x64.sys,Signed,Qualcomm Atheros,"Qualcomm Atheros Co., Ltd.",Qualcomm Atheros Ar81xx series PCI-E Gigabit Ethernet Controller,Qualcomm Atheros Ar81xx series PCI-E Gigabit Ethernet Controller,50AECF8C21AB2A6428A6E1E10549D8E5,6BC7C60CF5E8AFB9972619EE1C78357756E9C0A3EC783C3056CEB600DCBB1555,1
c:\windows\system32\VBoxControl.exe,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Guest Additions Utility,Oracle VM VirtualBox Guest Additions,E4ADC2361421261E13D5C778A5934226,52F6EF045534504B4C24D95E93B62D7AB4CDCA818955ED2EF2B5994085238745,3
c:\windows\system32\VBoxHook.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Hook Driver,Oracle VM VirtualBox Guest Additions,F8B510DE479F1EC02EDCA1DD8C8F6297,3C1E6D72C20D41232F6D8526FB0AFEAF07883C9592574CD329D0BF9B48FCF7A7,3
c:\windows\system32\VBoxMRXNP.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Shared Folders Minirdr NP,Oracle VM VirtualBox Guest Additions,55AA27FE15B0103936546904A7DE2641,D08644EA0BDA4A9417F0473392B5F3E5B106342217BEC2490A43778726496919,3
c:\windows\system32\VBoxOGL.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,2DDFB7B09A2E742B811BBCA16DCFD81B,7E69DC0623BE07F18B97280412D8D57E8678DED9CCAF0D5E6BC509CAEA04108A,3
c:\windows\system32\VBoxOGLarrayspu.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,97EAF0D72AC99CF0FE3FF8BCC4E8D780,DF727A6C6F526D2C953CFB5D06DA44F99D08718F560E08928AE2641F3365D736,3
c:\windows\system32\VBoxOGLcrutil.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,D2D552E23080D8338D199747737FDD18,01420BFB6CD254B4D760F7C8325D6D65994F3030CFA1B814499E37C10C7F947D,3
c:\windows\system32\VBoxOGLerrorspu.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,13E1B35D3EAD6036D5E14D345F99DC9C,625636DC9B745BC6BF61F07A7C791267F2B107B931DBBD18767B323CE197A56F,3
c:\windows\system32\VBoxOGLfeedbackspu.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,BC5BBDB148AEA7E53A9ADF56F113928C,8EA61266FD8CD6C1BB82ABF1270E7E43DA77DC3175E98DF1DDFD78A1F078F82E,3
c:\windows\system32\VBoxOGLpackspu.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,BB04FA3ED80E6F4CAF821567AB6D89B5,3A9FFB8B2595960E5FF9D02BDBA942F855965E472A460D9E83D7E8834FCD3128,3
c:\windows\system32\VBoxOGLpassthroughspu.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox crOpenGL ICD,Oracle VM VirtualBox Guest Additions,454CB3922FDA4DEE7855BC3E26A12390,BAD6189DBC4899EAF98A0822AF36CA116C8E4640347B03CC0226F53E1054D2FE,3
c:\windows\system32\VBoxService.exe,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Guest Additions Service,Oracle VM VirtualBox Guest Additions,8E77EDCFD59AE9707BFFFD4ECC741EB9,87F06D04129999FBF3F3FD687AFA7E8325FC6CBC4207B70B6183AD45CE4448AC,3
c:\windows\system32\VBoxTray.exe,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Guest Additions Tray Application,Oracle VM VirtualBox Guest Additions,B805884EB686D79D221A66667567C046,D935312323C2B4B66DB80D2567C8ADBAB744E4F94B6B481683369F6E64F70D25,3
c:\windows\system32\drivers\VBoxGuest.sys,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Guest Driver,Oracle VM VirtualBox Guest Additions,E4D292BA872F5EB730073078212A2627,DCF1AD6A9099FBB22BCDE723C41347B49A55D270FD47AE2E9427D668FF086131,3
c:\windows\system32\drivers\VBoxMouse.sys,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Mouse Filter,Oracle VM VirtualBox Guest Additions,EEA6748B53469BD9770424618A8AA1FC,C7554A9C19F72F0B65953449139483A5B51647B90754EE4B760F65856F0A9FB5,3
