Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"c:\windows\system32\accessibilitycpl.dll","Signed","8:00 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Ease of access  control panel","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","B4C899723183C940EA16A7C7927C4419","D85E9EA19E257AB3B8E5378258FBAD8DFEE782F6","1A0384CCCC1EFE11D7FE6619287C9562B8698E01","9FD3618866DF5F09A4071BDEA1BA1AE5E5C610366CD95C8B054EBFE05BD54C72","5FD4B79765A05292BA37591BD44E97BB8437BE67C3DBB91136347E27765536AD","91ADBD14192297AF1A65263B4DC03CD0"
"c:\windows\system32\ACCTRES.dll","Signed","7:42 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Microsoft Internet Account Manager Resources","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","885960E71787DA891587ECB819351D2F","45A34C361CB626617E81C9D443E41CB4CA26A745","7CA7E6C7ACA28820C6A3CFED2F6CF1175B803D2E","61F71F07AFBCA66749AF9DDF9B8B4067C400121C09BDA3335E0913192C83B2B0","DEBCEA3B39AB0B41768609BFDCCDD0BEAF7213DD3D6C598B019D3C9C078B7077","n/a"
"c:\windows\system32\acledit.dll","Signed","7:56 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Access Control List Editor","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","A97B722AF4341BD23445D47859F0713F","98309A6F3C433B4E740505F56888CFC100A154FC","B04D9E362FD22A6A7CD3A39F3E4CCE43BFEB09CA","D9E1732E555256920FF047EDFA50CF7856A4041E8BE421B676489E6704EC8F8C","CA2DAAF9AE6E194552433C265E995661AB81C4CF08A2E5FD22A4177AD3B90CAC","51C9D6A75ED3672F332E36C25C6F1479"
"c:\windows\system32\aclui.dll","Signed","12:42 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","Security Descriptor Editor","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","2881E437ADA22B12CDF5125DFD38A0DF","37C81512F406C0525F950D367C4BCA2B2645C082","E4B7F6FB9761F2F0810A1F03C1004A362ABE154E","AA58106EB7986B4556EE2E3621EC7CF48FF884513CFAD7F089B61532DCA46C75","73696E52D2DFAA4AF1038121200677D0DC9D3CB9978AFB298D2A1AB05A8A184C","E683F2F683009794814C7594D2788A1C"
"c:\windows\system32\acppage.dll","Signed","12:37 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","Compatibility Tab Shell Extension Library","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","434CB271E2A815CCBD437C7AD1BB53C8","4A277722080B75CC8756A741BD2C8CD380D2D410","45416567873D2713B142CA82C3887B3152B41AD6","DE1EF7D18F86885B1C932C3565C67E843E1BCB82137673D83F973B1FA9C6D96B","DE455D1CCB6C0B59B3939681BCE352B52EA143CE3E2597414496FFCB6E86CC3A","76C9EACE9B970E3C06B94A71F10A3C86"
"c:\windows\system32\acproxy.dll","Signed","8:08 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Autochk Proxy DLL","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","DEABE46484AADD7509B1D0CC308DCF77","BF005A00A04D1CC8942B0A826999DD877350D87E","FE930E110EDE2100683B30DA701BA25415AFC982","3A4A050C496B0EE81D8C9716DA0A7798F366777A02484ED971DE64C71E334BC0","B7FF9CD1320CFC65CC3D3FE38F5098622E705A83026ABB348CD5CE6C660CE914","B4009E7F3FD8E0925C867433F3223C1A"
"c:\windows\system32\ActionCenter.dll","Signed","12:19 PM 2/23/2014","Microsoft Windows","Microsoft Corporation","Action Center","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","090E4DE444439DF828CB726D60EA9CFD","714DDAE8A859CD7357B6C7DBD605CD4DC2DF3420","084B32A8BCB3634E66B6CC31E2EDEF1842CFA635","01718349C5CD2E021AC9C08F5C4258284293F899E6CC5F23E0D188D7C29D78D5","BCC7F55572FE855B264600F85A298007756A74A67FDFFDB92D856707C2F1240A","E7B25B9B7555297B5C2C613C4C10A6AE"
"c:\windows\system32\ActionCenterCPL.dll","Signed","7:59 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Action Center Control Panel","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","92D0AB294435F653A5F1A4A14847A02E","3B706517D772EF2493702140536582A30B6BFA38","1DF87E4BBE30E94186E5DB50D1261C6F3066F2C7","5A5B107E9914062FBD01253F96D2757909166E8155164FFEBE2F42E78C1A6009","0F9448654B540F00CCC1A48DDC738BF24BE34CC23366FE9367897BBDC57DB113","49300D2944299F7B9B0E279F338A189D"
"c:\windows\system32\ActionQueue.dll","Signed","3:35 AM 2/23/2014","Microsoft Windows","Microsoft Corporation","Unattend Action Queue Generator / Executor","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","6523161D8468E0C685EC04DD32BAC18B","3549DC8A9B1629D0DDCEAC417A501F9BBDF4206C","F95918025AFF9E6BA56B8CAF0AFB708964D726B6","8219FB98BBD831898663B94922566CC12FD5092E536AAF519A0A170664A9DACD","4441BF717A405BD10E8E3536853DFD9008AD83467E39A1CBC37CD5513D673EAE","0163C3BE734FDD9221E935D53F1FE9DB"
"c:\windows\system32\activeds.dll","Signed","7:57 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","ADs Router Layer DLL","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","E90A3C2460984362BE38F572842C890A","4187E289B04724553C7732785FBCEAC16122E45D","DEE53E35FBB085FFF36DEA1D6C029F82516F1E74","5E5E39BBC665F3F88C7A328271D0E9A58A4D5A87956281B9D99DC5D3B0D5B6D6","11EB6472B843FCF4CCDAA9C67EBDA071748AAE50C3D150C13143C6F90A352078","B8C24130F111F72DADB65E3C15EB2681"
