Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"c:\windows\system32\aaclient.dll","Signed","5:47 PM 9/4/2019","Microsoft Windows","Microsoft Corporation","Anywhere access client","Microsoft® Windows® Operating System","6.1.7601.24514","6.1.7601.24514 (win7sp1_ldr_escrow.190813-2000)","64-bit","F29410EFF6A094A2ABB06CE3746A5CD8","9D0F83860F93EF41E05FCFBEEE19588B4D3EBC78","1073EEB874FC3A94F4AD636178E2179110D4C264","62472385BA437FD76EA72D1066BF34D486EB0FC119811296D10D7213AADA35CF","A1639B44D1454457A62722BE590385E8869A3FBD0D15E6BE70BDE2A106CDC54F","8CC7075ACBBD6484D9338E547A396610"
"c:\windows\system32\accessibilitycpl.dll","Signed","2:37 PM 11/20/2010","Microsoft Windows","Microsoft Corporation","Ease of access  control panel","Microsoft® Windows® Operating System","6.1.7601.17514","6.1.7601.17514 (win7sp1_rtm.101119-1850)","64-bit","FD28E3B46F63337EAF905120F1E00070","61C27391748E8C8808AF75D852C4A9012E100722","51BD0FBEA9CE8D668A21553525C01381654A74DE","5FBB686D10AF539E8FCC87DBE220894EEDE0A4A69E5DA5426C5F07B1ECC62654","23001BDC9A3BBB82021C4B8664F07FDC0BEF5CB43BE9CF1C17E53E9BDB23FF01","7776B8CBA177BB950FEB061316E7E5E9"
"c:\windows\system32\ACCTRES.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","Microsoft Internet Account Manager Resources","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","540147995D966C87DD562F6EF67C7ED1","6FBA3A718C506A33387ABE5D8D41BCCB2C765FF6","DCB488EA0E582914D99D9048FDF3909E5D803B10","F24D2DDC2CD407ADB4BB29D81DBE986690D6086CA1B91E1503D0E90C3E68C68E","CA578BE451CC9EA1B2FE919EEFBA6727C42E527CBED27A743C9E7DC4A7DE64CE","n/a"
"c:\windows\system32\acledit.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","Access Control List Editor","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","E86BCECC56871F3F49C65992E6B21D5D","6D4E772D8939CA3789D82FB3C1B68E687A162BA1","57D83FEBC45E821EC3500D28598125F23FDC6928","88C462A63439AF5F16FA59609ADCED04206ACEC66CFF1CBDFFF8CBD0B1ED4CCA","1829B894E607C2E41C53514473C85DA7F05AE3E1CBAF33855CD6F03E32A97463","E00E670ECE80A0844E963B2E53C7883A"
"c:\windows\system32\aclui.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","Security Descriptor Editor","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","489BFBBB3950AEFA5A40B7B8BFD76430","BACB35C0742ACE34BE4A0D29F71CE93FE2304AED","263A7C3E2C630CCBF9546472D86D1895B8D3F69A","FE63335327DAE6D707A20500DE7EDEED049A234671639D02B0554F52A1737559","C4FD793243BA85E13C66B997199ECC0FEE195EC6496CC8B7176BE0DE1EF88BDA","D99F5AFD8BE87DC21029432AAEBA2376"
"c:\windows\system32\acmigration.dll","Signed","5:46 PM 9/4/2019","Microsoft Windows","Microsoft Corporation","Compatibility Upgrade Migration Host","Microsoft® Windows® Operating System","10.0.18362.1015","10.0.18362.1015 (WinBuild.160101.0800)","64-bit","60EA98A3BEE04BCE06EDC817059EDAE8","AA6A90A3B83052B2BE217348BB1262F1DBDB1CDE","CAACCD5F9B34B4BF3060AF61DD4339B12F503492","B5F02A8936D6316EA7F6DCF47A048FC7C81BAC157524F8878B70E2CD48166D4C","93C799C7587DA13CB3E65187ADA2D2140F7AE7ED19548FE06CA721ADBCE819EE","3F1A7C4EBDF87674B646C6239A697D7E"
"c:\windows\system32\acppage.dll","Signed","2:37 PM 11/20/2010","Microsoft Windows","Microsoft Corporation","Compatibility Tab Shell Extension Library","Microsoft® Windows® Operating System","6.1.7601.17514","6.1.7601.17514 (win7sp1_rtm.101119-1850)","64-bit","8B22B0CF8912F810B28AFBFC8B42727F","8B3B3B55301DEB46AD11CA476E99C2807A57814C","B71B5B3CB4CE9052432D8FD03AD7E9DE8F373D9D","D11FDD16271C1B40C3C7790796DF6060876627FFB132AE01A95833C2743667F8","3E65AE302C177DB3496B38B698C825C22BEF406809DDC3DFF46A3B86F58B6808","993488D5BFB6517E80A227E310D36106"
"c:\windows\system32\acproxy.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","Autochk Proxy DLL","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","AEAFE966FB0BEF2F9153B7076BC79127","9C02A150D2A4955E28DDC0F29FF1319BFF82536C","31BECE36AAE2EF569F0ED0F84C3F33E38F3123E6","957F2060634F90CD64D680B56E70D77C528F6830EFD37F81CBCA9DD43CE7AB7F","300E75838034111928C5062C130DCB245C450B459607AFDA506714D9C5E84B6C","CF4028F84B6AD215BDF74A4CB8581332"
"c:\windows\system32\ActionCenter.dll","Signed","2:35 PM 11/20/2010","Microsoft Windows","Microsoft Corporation","Action Center","Microsoft® Windows® Operating System","6.1.7601.17514","6.1.7601.17514 (win7sp1_rtm.101119-1850)","64-bit","92DBF0A4C9239169010FC6E07859C82E","634D8C12DE82C422DFEBA8F9A5FA84D03B7BCD35","F96027F088B81FF68E0B4BB800DE131311CAEBDE","5F6709C19455202055255EC0D2C709C9A56189AC601CD8D44942B62733FE96F6","00FB2CF4420F0FFEF519AFE732A708CF249640121E2A891CAA164313ABD7F804","F5D0254C5435291634C8B7357AA536BD"
"c:\windows\system32\ActionCenterCPL.dll","Signed","2:35 PM 11/20/2010","Microsoft Windows","Microsoft Corporation","Action Center Control Panel","Microsoft® Windows® Operating System","6.1.7601.17514","6.1.7601.17514 (win7sp1_rtm.101119-1850)","64-bit","7D067C851FD270E7C3495788AD487CDE","B7F92AA239573FCC6E1D8EF9B4B40F483AC9811B","07E1E88FDFFE034064F41B4939BEDEC18DF10D54","8018AA2DB1B3B3C18F6EB18BB3B5B6CB3E4114A8895B2705F7556EC35824127B","93F7B57641545BE035CCAF54C9C9538AC9306BA0F8DFF7A7D18353DA7C475419","17F659C3696DD3DEB016B4456D6CC1B3"
